2019-04-09 14:04:39,928 |DEBUG   | __main__     DEBUG    Started logger
2019-04-09 14:04:39,938 |INFO    | gui.fastscan.mainwindow.FastScanMainWindow INFO     Created MainWindow
2019-04-09 14:04:40,041 |INFO    | measurement.fastscan.threadmanager.FastScanThreadManager INFO     Created Thread Manager
2019-04-09 14:04:40,045 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Created FastScanProcessor: id=0
2019-04-09 14:04:40,046 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Created FastScanProcessor: id=1
2019-04-09 14:04:40,046 |INFO    | measurement.fastscan.streamer.FastScanStreamer INFO     Created FastScanStreamer
2019-04-09 14:04:40,471 |INFO    | -.gui.fastscan.plotwidget.PlotWidget INFO     Created PlotWidget
2019-04-09 14:04:41,595 |INFO    | measurement.fastscan.threadmanager.FastScanThreadManager INFO     FastScanStreamer started
2019-04-09 14:04:41,595 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    streamer settings: {'dark_control': True, 'processor_buffer': 21000, 'streamer_buffer': 42000, 'number_of_processors': 2, 'simulate': True, 'shaker_amplitude': 10}
2019-04-09 14:04:41,596 |INFO    | measurement.fastscan.streamer.FastScanStreamer INFO     Started streamer simulation
2019-04-09 14:04:41,596 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #1
2019-04-09 14:04:41,751 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 2.01 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:41,751 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #2
2019-04-09 14:04:41,751 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:41,754 |DEBUG   | -.gui.fastscan.plotwidget.PlotWidget DEBUG    adding stage pos curve to secondary plot
2019-04-09 14:04:41,755 |DEBUG   | -.gui.fastscan.plotwidget.PlotWidget DEBUG    adding raw signal curve to secondary plot
2019-04-09 14:04:41,781 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:41,782 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:41,847 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Projected 42000 points to a 201 pts array, with 0 nans in : 64.96 ms
2019-04-09 14:04:41,848 |DEBUG   | gui.fastscan.mainwindow.FastScanMainWindow DEBUG    recieved processed data as <class 'xarray.core.dataarray.DataArray'>
2019-04-09 14:04:41,850 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 is ready for new stream_data
2019-04-09 14:04:41,906 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 4.99 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:41,906 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #3
2019-04-09 14:04:41,906 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    added 1 chunks to queue
2019-04-09 14:04:42,005 |DEBUG   | measurement.fastscan.threadmanager.FastScanThreadManager DEBUG    processing data with processor 0
2019-04-09 14:04:42,008 |DEBUG   | measurement.fastscan.processor.FastScanProcessor DEBUG    Processor ID:0 started processing data with shape (3, 42000)
2019-04-09 14:04:42,060 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulated data in 3.00 ms - real would take 153.85 - outputting array of (3, 42000)
2019-04-09 14:04:42,060 |DEBUG   | measurement.fastscan.streamer.FastScanStreamer DEBUG    simulating measurement cycle #4
